family,x,y,count
P2,-0.10,0.51,2308
P2,-0.11,0.34,3066
P2,-0.11,0.35,2719
P2,-0.12,0.35,2414
P2,-0.12,0.34,2380
P2,0.06,0.57,2147
P2,0.06,0.58,2027
P2,0.07,0.57,2231
P2,-0.04,0.22,12326
P2,-0.05,0.22,12353
P2,-0.06,0.23,12323
P2,-0.06,0.22,12131
P2,-0.17,1.03,1165
P2,-0.17,1.04,867
P2,-0.18,1.04,1234
P2,-0.18,1.03,1401
P2,0.16,0.87,4932
P2,0.17,0.87,4192
P2,0.17,0.88,2168
P2,0.18,0.88,1953
P2,0.18,0.87,4342
P2,0.22,0.80,661
P2,0.12,0.71,102
P2,0.13,0.69,10743
P2,0.13,0.68,866
P2,-0.24,0.57,2748
P2,-0.23,0.57,2920
P2,0.16,0.56,94075
P2,0.08,0.20,8017
P2,-0.23,0.38,1290
P2,-0.22,0.38,174
P2,0.30,0.80,781
P2,0.30,0.81,545
P2,0.29,0.81,691
P2,0.29,0.80,775
P2,-0.21,0.53,1202
P2,-0.21,0.54,1492
P2,-0.20,0.54,1043
P2,-0.19,0.54,488
P2,-0.19,0.53,413
P2,0.01,0.32,7846
P2,-0.12,0.21,1254
P2,-0.13,0.21,68
P2,-0.23,1.17,617
P2,-0.23,1.18,416
P2,-0.22,1.18,373
P2,-0.22,1.17,540
P2,-0.05,0.91,887
P2,-0.06,0.92,746
P2,-0.06,0.91,660
P2,-0.09,0.70,1424
P2,-0.09,0.71,1245
P2,-0.10,0.71,1993
P2,-0.10,0.70,1850
P2,-0.12,0.71,1207
P2,-0.12,0.72,1115
P2,-0.13,0.72,1168
P2,-0.13,0.71,853
P2,-0.14,0.71,1236
P2,-0.21,0.66,2055
P2,-0.24,0.71,2973
P2,-0.23,0.71,3677
P2,-0.22,0.71,2741
P2,-0.22,0.70,2839
P2,-0.13,0.73,1761
P2,-0.14,0.73,2329
P2,-0.15,0.73,942
P2,-0.15,0.72,1241
P2,-0.11,1.18,275
P2,-0.11,1.19,409
P2,0.14,0.63,4771
P2,0.14,0.62,6821
P2,-0.20,0.50,431
P2,-0.18,0.63,824
P2,-0.19,0.63,1122
P2,-0.20,0.63,1526
P2,0.05,0.47,3153
P2,0.05,0.48,3440
P2,0.06,0.48,2642
P2,0.07,0.48,2934
P2,0.07,0.47,2616
P2,0.01,0.27,8956
P2,-0.24,0.50,4211
P2,-0.23,0.50,3943
P2,-0.22,0.41,505
P2,-0.08,0.60,1760
P2,-0.09,0.60,1488
P2,-0.10,0.60,1716
P2,0.02,0.29,7927
P2,0.02,0.28,8033
P2,0.03,0.28,8111
P2,0.10,1.29,146
P2,0.10,1.30,102
P2,0.09,1.30,188
P2,0.09,1.29,211
P2,0.06,0.40,4155
P2,0.07,0.40,3922
P2,0.07,0.41,3715
P2,0.03,0.29,7177
P2,0.04,0.29,7958
P2,0.04,0.28,8076
P2,0.05,0.28,10315
P2,0.07,0.42,3446
P2,0.07,0.43,2865
P2,0.08,0.43,2726
P2,0.08,0.42,2474
P2,-0.21,0.41,25
P2,-0.23,0.95,1360
P2,-0.23,0.96,1630
P2,-0.22,0.96,1672
P2,-0.21,0.96,1293
P2,-0.21,0.95,1379
P2,0.00,0.22,11983
P2,0.00,0.23,13123
P2,0.06,0.59,2817
P2,0.07,0.59,4130
P2,0.07,0.58,2066
P2,0.06,0.27,7376
P2,0.05,0.27,8961
P2,0.04,0.27,9361
P2,0.04,0.26,10794
P2,-0.18,0.43,642
P2,-0.19,0.43,453
P2,-0.24,0.95,774
P2,-0.22,0.95,1287
P2,-0.09,0.20,5959
P2,-0.01,0.74,1498
P2,-0.01,0.75,2168
P2,-0.02,0.75,3123
P2,-0.02,0.74,1773
P2,0.08,0.79,905
P2,0.07,0.79,1479
P2,0.07,0.80,2745
P2,0.06,0.73,1219
P2,-0.21,0.74,1994
P2,-0.20,0.74,1764
P2,0.17,0.60,1377
P2,0.17,0.59,2583
P2,-0.24,0.34,1044
P2,-0.24,0.33,662
P2,-0.13,1.05,331
P2,-0.14,1.05,483
P2,0.04,0.43,3898
P2,0.04,0.44,4001
P2,0.05,0.44,3766
P2,0.05,0.43,3343
P2,0.06,0.43,3253
P2,-0.09,0.83,1081
P2,-0.10,0.83,1313
P2,0.01,0.66,73376
P2,0.00,0.66,2002
P2,0.00,0.67,1817
P2,0.00,0.36,6614
P2,0.00,0.37,5786
P2,-0.01,0.37,6513
P2,-0.02,0.37,5936
P2,-0.02,0.36,6670
P2,0.01,0.23,13151
P2,-0.01,0.31,7093
P2,-0.02,0.31,7429
P2,-0.03,0.31,6882
P2,-0.02,0.24,13073
P2,-0.03,0.24,12884
P2,-0.04,0.24,12615
P2,0.05,0.37,4297
P2,0.05,0.38,4148
P2,-0.11,0.24,4916
P2,-0.11,0.25,5057
P2,-0.12,0.25,3432
P2,0.03,0.65,2905
P2,0.03,0.66,8655
P2,0.02,0.66,36748
P2,0.02,0.65,6500
P2,0.35,0.74,231
P2,-0.22,0.43,1348
P2,-0.21,0.43,192
P2,-0.17,0.96,795
P2,-0.16,0.96,835
P2,-0.15,0.96,616
P2,0.14,0.65,20720
P2,-0.24,0.63,2730
P2,-0.23,0.63,3244
P2,0.14,0.47,3562
P2,0.16,0.90,5366
P2,0.17,0.90,5084
P2,0.21,0.78,5887
P2,0.24,0.78,1226
P2,-0.08,0.31,4835
P2,-0.09,0.31,5052
P2,0.14,0.41,27111
P2,0.14,0.42,10045
P2,0.15,0.44,187669
P2,0.02,0.45,4256
P2,0.02,0.46,4670
P2,0.02,0.44,4229
P2,0.17,1.00,882
P2,0.17,1.01,1176
P2,0.18,1.01,865
P2,0.18,1.00,958
P2,0.19,1.00,899
P2,-0.23,1.21,861
P2,-0.22,1.21,828
P2,-0.21,1.21,852
P2,0.01,0.36,6733
P2,-0.12,0.63,1433
P2,-0.13,0.64,1459
P2,-0.14,0.64,1296
P2,-0.14,0.63,1807
P2,-0.21,0.28,1237
P2,0.06,0.22,10741
