family,x,y,count
P2,-0.24,1.38,37
P2,-0.24,1.37,102
P2,0.08,0.34,53071
P2,0.08,0.33,9295
P2,-0.06,0.30,1069
P2,-0.07,0.31,1190
P2,-0.07,0.30,943
P2,-0.05,0.65,422
P2,-0.06,0.65,643
P2,-0.07,0.65,516
P2,0.28,0.78,2
P2,0.28,0.79,74
P2,0.29,0.79,126
P2,0.30,0.79,83
P2,0.30,0.78,56
P2,-0.04,0.93,195
P2,-0.05,0.93,86
P2,-0.05,0.92,163
P2,0.18,0.66,7496
P2,-0.12,0.44,524
P2,-0.12,0.45,431
P2,-0.13,0.45,469
P2,-0.13,0.44,409
P2,-0.14,0.44,327
P2,0.03,0.22,2282
P2,0.03,0.23,2625
P2,0.02,0.23,3260
P2,-0.10,0.50,549
P2,-0.10,0.51,611
P2,-0.11,0.34,555
P2,-0.11,0.35,646
P2,-0.12,0.35,405
P2,-0.12,0.34,458
P2,0.06,0.57,564
P2,0.06,0.58,342
P2,0.07,0.57,473
P2,-0.04,0.22,2637
P2,-0.05,0.22,2723
P2,-0.06,0.23,2612
P2,-0.06,0.22,2652
P2,-0.17,1.03,208
P2,-0.17,1.04,131
P2,-0.18,1.04,198
P2,-0.18,1.03,345
P2,0.16,0.87,688
P2,0.17,0.87,534
P2,0.17,0.88,500
P2,0.18,0.88,356
P2,0.18,0.87,727
P2,0.22,0.80,118
P2,0.12,0.71,26
P2,0.13,0.69,1947
P2,0.13,0.68,324
P2,-0.24,0.57,618
P2,-0.23,0.57,636
P2,0.16,0.56,18890
P2,0.08,0.20,1491
P2,-0.23,0.38,264
P2,-0.22,0.38,20
P2,0.30,0.80,176
P2,0.30,0.81,151
P2,0.29,0.81,286
P2,0.29,0.80,184
P2,-0.21,0.53,253
P2,-0.21,0.54,299
P2,-0.20,0.54,170
P2,-0.19,0.54,104
P2,-0.19,0.53,60
P2,0.01,0.32,1872
P2,-0.12,0.21,207
P2,-0.13,0.21,10
P2,-0.23,1.17,154
P2,-0.23,1.18,122
P2,-0.22,1.18,70
P2,-0.22,1.17,126
P2,-0.05,0.91,83
P2,-0.06,0.92,111
P2,-0.06,0.91,96
P2,-0.09,0.70,157
P2,-0.09,0.71,357
P2,-0.10,0.71,362
P2,-0.10,0.70,287
P2,-0.12,0.71,356
P2,-0.12,0.72,255
P2,-0.13,0.72,233
P2,-0.13,0.71,251
P2,-0.14,0.71,185
P2,-0.21,0.66,354
P2,-0.24,0.71,615
P2,-0.23,0.71,712
